"32";"693";"Happy Dragon.Backpackers Hostel";"Hotel";"29 Ren Min Shi Chang Xi Xiang";"2,51 Km du centre de Pékin";"2";"Y";"39.92630386";"116.41349030";"32"
"33";"1301";"The North Garden Hotel";"Hotel";"No.218-1 Wangfujing Da Jie";"822 m du centre de Pékin";"4";"Y";"39.91020203";"116.41304779";"33"
"34";"1228";"Jingtailong International Hotel";"Hotel";"19 East Zhushikou Avenue";"1,47 Km du centre de Pékin";"5";"Y";"39.89209747";"116.40033722";"34"
"35";"1313";"Lake View Hotel";"Hotel";"NO.19 Panjiayuan Road";"4,52 Km du centre de Pékin";"5";"Y";"39.87609100";"116.44570160";"35"
"36";"1136";"Beijing Tianrui Hotel";"Hotel";"15 Baishu Hutong, Wangfujing Avenue";"1,64 Km du centre de Pékin";"3";"Y";"39.91775894";"116.41526794";"36"
"37";"772";"Beijing Siheju Courtyard Hotel";"Hotel";"No.10 Xisi North 2nd Alley";"3,89 Km du centre de Pékin";"4";"Y";"39.92633438";"116.37200165";"37"
"38";"1041";"Beijing Yoyo Hotel";"Hotel";"Middle Building 10 East Sanlitun";"5,56 Km du centre de Pékin";"3";"Y";"39.93658447";"116.45711517";"38"
"39";"1120";"Dragon King Hostel";"Hotel";"No.78 Dongsi Jiutiao";"3,35 Km du centre de Pékin";"3";"Y";"39.93286514";"116.41963196";NULL
"40";"1258";"Qian Men Jian Guo Hotel";"Hotel";"No. 175 Yong An Road, Xicheng District";"3,25 Km du centre de Pékin";"4";"Y";"39.88484955";"116.37870026";"39"
"41";"969";"Xiao Yuan Alley Courtyard Hotel";"GuestHouse";"No.12 Lishi Hutong, Chaoyangmen South Street";"2,50 Km du centre de Pékin";"3";"Y";"39.92193604";"116.42548370";"40"
"42";"682";"Beijing Sanlitun Hostel";"Hotel";"No.1 Chunxiu South Gongti North Road ";"4,59 Km du centre de Pékin";"2";"Y";"39.93441772";"116.44413757";"41"
"43";"660";"Happy Dragon Courtyard Hostel Dongsishitiao";"Hotel";"No51, Dongsi Jiutiao";"3,39 Km du centre de Pékin";"2";"Y";"39.93312836";"116.42017365";"42"
"44";"963";"Beijing CityCourt Hotel";"Hotel";"14 Liulisi Xiang, Baochao Hutong";"4,45 Km du centre de Pékin";"3";"Y";"39.94319916";"116.39520264";"43"
"45";"1224";"Jade Garden Hotel";"Hotel";"No.1 Nanheyan Main Street";"1,17 Km du centre de Pékin";"4";"Y";"39.91473770";"116.40634918";"44"
"46";"1110";"Beijing Springs Valley Hotel";"Hotel";"No.57 Xing Fu Street";"2,82 Km du centre de Pékin";"3";"Y";"39.88528442";"116.42952728";"45"
"47";"875";"Ping An Fu Hotel";"Hotel";"100 Dongsishitiao Dongcheng District";"3,15 Km du centre de Pékin";"3";"Y";"39.93220139";"116.41310120";"46"
"48";"1475";"Grand Mercure Beijing Central";"Hotel";"6 Xuanwumen Nei Avenue.";"2,80 Km du centre de Pékin";"4";"N";"39.90327454";"116.37456512";"47"
"49";"1331";"Tiananmen Best Year Courtyard Hotel";"GuestHouse";"No.1 Denglongku Hutong, Nanchizi Street";"1,06 Km du centre de Pékin";"2";"Y";"39.91331100";"116.40352631";"48"
"50";"1468";"Hotel Kapok - Forbidden City";"Hotel";"No.16 Donghuamen Street";"1,22 Km du centre de Pékin";"4";"Y";"39.91514587";"116.40562439";"49"
"51";"1397";"Beijing 161 Wangfujing Hotel";"Hotel";"NO 161 LISHI HUTONG DONGSINANDAJIE DONGCHENG 46";"2,17 Km du centre de Pékin";"3";"Y";"39.92198181";"116.41811371";"50"
"52";"847";"Beijing Chengtai Business Hotel";"GuestHouse";"320 North Dongsi Street";"2,95 Km du centre de Pékin";"3";"Y";"39.92961121";"116.41764069";"51"
"53";"1351";"Chang An Grand Hotel";"Hotel";"No. 27 Hua Wei Li, Chao Yang District";"5,37 Km du centre de Pékin";"4";"Y";"39.87012100";"116.45200348";"52"
"54";"1491";"pentahotel Beijing";"Hotel";"3-18 Chongwenmenwai Street";"679 m du centre de Pékin";"4";"N";"39.89865112";"116.41069794";"53"
"55";"1199";"Traditional View";"Hotel";"33 JU ER HUTONG NAN DA JIE";"3,89 Km du centre de Pékin";"3";"N";"39.93920135";"116.40577698";"54"
"56";"1384";"Guxiang 20 Courtyard";"Hotel";"No. 20 Nanluoguxiang";"3,08 Km du centre de Pékin";"3";"Y";"39.93194962";"116.40769958";"55"
"57";"878";"Bo Tai";"Hotel";"140 SOUTH JIAODAOKOU STREET, DONGCHENG DISTRICT 171";"3,36 Km du centre de Pékin";"2";"Y";"39.93440628";"116.40908051";"56"
"58";"1226";"CTS (HK) Grand Metropark Hotel Beijing";"Hotel";"338 Guanganmen Nei St";"5,38 Km du centre de Pékin";"4";"Y";"39.88813019";"116.34790039";"57"
"59";"1451";"Oriental Garden Hotel";"Hotel";"6 Dongzhimen Street";"4,36 Km du centre de Pékin";"4";"Y";"39.93733978";"116.43489838";"58"
"60";"1348";"Holiday Inn Express Beijing Minzuyuan";"Hotel";"No.1 building, No.1 Minzuyuan Road";"8,26 Km du centre de Pékin";"4";"Y";"39.97745895";"116.39095306";"59"
"61";"1060";"Happy Dragon. Saga Youth Hostel";"Hotel";"No.9 Shijia Hutong Chao Nei Nan Xiao Jie";"2,20 Km du centre de Pékin";"2";"Y";"39.91858673";"116.42524719";"60"
"62";"1033";"Hua Fu International Hotel";"Hotel";"No.53,Dong An Men Street";"1,25 Km du centre de Pékin";"3";"Y";"39.91548920";"116.40818024";"61"
"63";"1634";"Park Plaza Beijing Wangfujing";"Hotel";"No.97, Jinbao Street";"1,75 Km du centre de Pékin";"4";"Y";"39.91696930";"116.41957855";"62"
"64";"981";"Beijing 161 Beihai Courtyard Hotel";"Hotel";"No.29 Xisi North Qi Tiao";"4,25 Km du centre de Pékin";"3";"N";"39.93063736";"116.37138367";NULL
